Author,Title,Publication
Justine Musk,💻 https://www.quora.com/Will-I-become-a-billionaire-if-I-am-determined-to-be-one-and-put-in-the-necessary-work-required,
Rob Pike,https://go.dev/talks/2012/splash.article,
Tyler Cowen,https://www.newyorker.com/business/currency/are-computers-making-society-more-unequal,New Yorker
Eric Colson et al,💻 https://multithreaded.stitchfix.com/blog/2015/03/31/advice-for-data-scientists/,
Jo Johnson,https://gist.github.com/savarin/aac05afe7ee68be5184d60867c055adc,FT Weekend
Sam Altman,💻 https://blog.samaltman.com/the-days-are-long-but-the-decades-are-short,
Oz Nova,💻 https://blog.bradfieldcs.com/cutting-through-to-what-matters-48baf397806f,
DT Max on Jack Dorsey,https://www.newyorker.com/magazine/2013/10/21/two-hit-wonder,New Yorker
Gergely Orosz,💻 https://blog.pragmaticengineer.com/the-product-minded-engineer/,
Michael Steinberger,https://gist.github.com/savarin/a5bb1f8826012b6d9f17a1ad068d6cfa,FT Weekend
Tim Urban,💻 https://waitbutwhy.com/2014/06/taming-mammoth-let-peoples-opinions-run-life.html,
Dan McKinley,💻 https://mcfunley.com/choose-boring-technology,
Jill Lepore,https://www.newyorker.com/magazine/2014/06/23/the-disruption-machine,New Yorker
Kevin Kwok,https://kwokchain.com/2020/06/19/why-figma-wins,
Martin Sandbu on Farouk Al-Kasim,https://gist.github.com/savarin/c819b8637eba3ea5ee3b4243b88c4d01,New Yorker
Paul Buchheit,💻 https://web.archive.org/web/20230105042801/https://triplebyte.com/blog/interview-with-gmail-creator-and-y-combinator-partner-paul-buchheit,
Allison Kaptur,http://www.aosabook.org/en/500L/a-python-interpreter-written-in-python.html,
James Somers on Jeff Dean et al,💻 https://www.newyorker.com/magazine/2018/12/10/the-friendship-that-made-google-huge,New Yorker
Chris Stokel-Wlaker,https://increment.com/cloud/case-studies-in-cloud-migration/,
Caroline Moorehead,https://gist.github.com/savarin/6dd40d679333fd49dc62f42ffe0bb1c8,New Yorker
Larry Gordon on Terence Tao,💻 https://www.latimes.com/local/lanow/la-me-ln-ucla-math-prize-20140626-story.html,LA Times
Murtaza Hussain,💻 https://mecolalu.medium.com/how-we-did-15-startups-in-21-months-a7008c8f2c97,
Atul Gawande,https://www.newyorker.com/magazine/2018/11/12/why-doctors-hate-their-computers,New Yorker
Jeff Magnusson,💻 https://multithreaded.stitchfix.com/blog/2016/03/16/engineers-shouldnt-write-etl/,
David Atkinson,https://gist.github.com/savarin/41c54cbe779adebf89e29454de3cba7a,New Yorker
Jessica Livingston,💻 http://foundersatwork.posthaven.com/grow-the-puzzle-around-you,
Paul Graham,http://www.paulgraham.com/re.html,
Tad Friend on Sam Altman,https://www.newyorker.com/magazine/2016/10/10/sam-altmans-manifest-destiny,New Yorker
Raylene Yung,💻 https://firstround.com/review/the-engineers-guide-to-career-growth-advice-from-my-time-at-stripe-and-facebook,
John Lanchester,💻 https://gist.github.com/savarin/77449f22e0977b094bf4906b9f9caa89,FT Weekend
Nicholas Chirls,💻 https://nchirls.svbtle.com/my-time-at-lehman,
Nick Paumgarten,https://www.newyorker.com/magazine/2012/03/05/magic-mountain-davos,New Yorker
Paul Graham,💻 http://www.paulgraham.com/hs.html,
Jan Overgoor,https://medium.com/airbnb-engineering/experiments-at-airbnb-e2db3abf39e7,
Witold Rybczynski on Renzo Piano,💻 https://slate.com/culture/2011/03/have-computers-made-architects-less-disciplined.html,Slate
Antonia Macaro et al,💻 https://www.ft.com/content/0dc70fac-4c86-11e1-b1b5-00144feabdc0,FT Weekend
Ian Parker on Bjarke Ingels,https://www.newyorker.com/magazine/2012/09/10/high-rise,New Yorker
Aline Lerner,💻 https://blog.alinelerner.com/how-to-interview-your-interviewers/,
David Brooks,💻 https://www.nytimes.com/2015/04/12/opinion/sunday/david-brooks-the-moral-bucket-list.html,NY Times
John Lanchester,https://www.newyorker.com/magazine/2008/11/10/melting-into-air,New Yorker
Peter Norvig,💻 https://norvig.com/21-days.html,
Richard Artoul,💻 https://medium.com/swlh/from-coding-bootcamp-graduate-to-building-distributed-databases-29acbb723d8,
Reid Hoffman on Sam Altman,https://greylock.com/greymatter/sam-altman-ai-for-the-next-era/,
Patrick O’Shaughnessy,💻 https://www.joincolossus.com/editorials/posts/trail-magic,
Ben Kuhn,💻 https://www.benkuhn.net/blub/,
Erik Bernhardsson,https://erikbern.com/2021/07/07/the-data-team-a-short-story.html,
